#SampleID	DisplayID	Group	Type	DEG_exclude
flcount_AN08161	AN08161	PFC	Single	yes
flcount_CBL-DP19_hifi	CBL-DP19_hifi	CBL	Bulk	no
flcount_CBL-DP20_hifi	CBL-DP20_hifi	CBL	Bulk	no
flcount_CBL-DP21_hifi	CBL-DP21_hifi	CBL	Bulk	no
flcount_CBL-DP22_hifi	CBL-DP22_hifi	CBL	Bulk	no
flcount_CBL-pool-OF3_hifi	CBL-pool-OF3_hifi	CBL	Bulk	no
flcount_CBL_DP19_hifi	CBL-DP19_hifi	CBL	Bulk	no
flcount_CBL_DP20_hifi	CBL-DP20_hifi	CBL	Bulk	no
flcount_CBL_DP21_hifi	CBL-DP21_hifi	CBL	Bulk	no
flcount_CBL_DP22_hifi	CBL-DP22_hifi	CBL	Bulk	no
flcount_CBL_pool_OF3_hifi	CBL-pool-OF3_hifi	CBL	Bulk	no
flcount_CTL1_pool	CTL1_pool	PFC	Bulk	no
flcount_CTL2_pool	CTL2_pool	PFC	Bulk	no
flcount_DSC08	DSC08	PFC	Single	yes
flcount_DSC16	DSC16	PFC	Single	yes
flcount_DSC20	DSC20	PFC	Single	yes
flcount_DSC44	DSC44	PFC	Single	yes
flcount_DSC47	DSC47	PFC	Single	yes
flcount_DSC51	DSC51	PFC	Single	yes
flcount_DSC54	DSC54	PFC	Single	yes
flcount_DSC57	DSC57	PFC	Single	yes
flcount_FB-pool-OF21_hifi	FB-pool-OF21_hifi	Fetal	Bulk	yes
flcount_FB_pool_OF21_hifi	FB-pool-OF21_hifi	Fetal	Bulk	yes
flcount_FL_combined	FL_combined	PFC	Bulk	yes
flcount_HBCC_1039_PFC_hifi	HBCC_1039_PFC_hifi	PFC	Bulk	no
flcount_HBCC_1051_PFC_hifi	HBCC_1051_PFC_hifi	PFC	Bulk	no
flcount_HBCC_1054_PFC_hifi	HBCC_1054_PFC_hifi	PFC	Bulk	no
flcount_HBCC_1150_PFC_hifi	HBCC_1150_PFC_hifi	PFC	Bulk	no
flcount_HBCC_1185_PFC_hifi	HBCC_1185_PFC_hifi	PFC	Bulk	no
flcount_HBCC_1275_PFC_hifi	HBCC_1275_PFC_hifi	PFC	Bulk	no
flcount_HBCC_1325_PFC_hifi	HBCC_1325_PFC_hifi	PFC	Bulk	no
flcount_HBCC_1563_PFC_hifi	HBCC_1563_PFC_hifi	PFC	Bulk	no
flcount_HBCC_1615_PFC_hifi	HBCC_1615_PFC_hifi	PFC	Bulk	no
flcount_HBCC_1883_PFC_hifi	HBCC_1883_PFC_hifi	PFC	Bulk	no
flcount_HBCC_1927_PFC_hifi	HBCC_1927_PFC_hifi	PFC	Bulk	no
flcount_HBCC_2543_PFC_hifi	HBCC_2543_PFC_hifi	PFC	Bulk	no
flcount_HBCC_2587_PFC_hifi	HBCC_2587_PFC_hifi	PFC	Bulk	no
